Username,Like_Count,Created_At,Comment
wm5268103,0,2024-11-20 23:31:23,هو المفروض أنه مسلم ايه
motivationalspeaker210,0,2024-12-04 04:44:17,Astagfirullah ❎ rasagullah✅
newbird753,0,2024-12-04 03:27:34,Allah ki ma chud gayi
vibeswith_karan,0,2024-12-03 18:17:29,If gauri is hindu and srk is muslim then respect to each other religion ...but muslims peoples ko hater krte hai har jagah
hombreingles32,0,2024-12-03 08:34:29,Respect 👏👏🙌❤️❤️❤️
ji.tesh373,0,2024-12-03 06:51:17,God is important not Dharam important 🔥🔥👏
praveen323026,0,2024-12-03 05:49:00,inko to jane nahi dena chahiye
anish_prakash_yadav,0,2024-12-02 23:53:38,🙌🙌🧿🧿🙏🙏♥️🥰🥰
ranimbouthaina,0,2024-12-02 20:55:56,Charoukhan IS a Muslim
_almightymimic_,0,2024-12-02 17:08:20,
shama5760khan,0,2024-12-02 13:53:43,❤️❤️❤️
city_of_nawab,0,2024-12-02 12:47:59,🔥🔥❤️❤️❤️❤️❤️❤️🔥
md2562rashid,0,2024-12-02 11:03:57,❤️💐❤️💐❤️💐🕋🕋🤲🤲
rupali.21,0,2024-12-02 08:02:50,Mashallah 🙏
entrepreneursunny,0,2024-12-02 01:50:31,😍🔥🔥😍😍
sky.colonel,0,2024-12-01 15:04:44,5am to 9am sleep theory person
moxley4012,0,2024-12-01 09:26:18,Maa chudai Allah 😂😂😂
mshridharan805,0,2024-11-30 15:42:00,✨
ansaransari6111,0,2024-11-30 13:26:28,Allah ☝️☝️🕋🕋🕋🕋🕋 👈🇸🇦🇸🇦🇸🇦🇸🇦
itz_neelam_ludhiana_0008,1,2024-11-30 09:12:53,❤️🔥
priyanka1107roy,0,2024-11-30 04:59:00,Dil bada ho geya ye dekh kar ❤️❤️❤️ hindu & islam 💚💚 both best mere liye ☪️🕉️✝️
priyanka1107roy,0,2024-11-30 04:54:59,I love sharukh ❤️❤️
umadeshpande2,0,2024-11-30 00:24:11,Great
mantu986ghosh,0,2024-11-29 07:14:33,Ak din hoga  aa dil sa . Puja Kara ga
sumitkumarmishra108,0,2024-11-29 04:00:54,ऊँ श्री गणेशाय नमः 🙏🚩
ashish_1708wmd,0,2024-11-28 19:43:00,"The radicals wage war in the name of their so-called religion, trying to prove a point that ultimately means NOTHING. You get the drift. Respect to Shah Rukh for calling it out Loud!!!"
ranagotam27,0,2024-11-28 14:56:38,❤️👏😍❤️👏
el_drunken_master,0,2024-11-28 05:23:53,Isko v gyaaan ho gya ki Sachs religion kinda hai
rahulsarma.sarma.90226,0,2024-11-28 05:00:49,Ye hai actor
rajatshukla09___pandit,0,2024-11-13 11:41:18,❤️❤️❤️
unique_girl_0910,3,2024-11-13 09:26:26,Astagfirullah kya yeh log muslim h nalat ho ase hero logo pr
__proud_hindu__,0,2024-11-13 09:13:02,INKI FILM TABHI CHLTI HAI JAB YE BHAGWAAN KE AAGE JHUKTE HAI😂😂
cosmos_n_art,0,2024-11-13 08:55:19,Nothing will happen if one person of a religion performs rituals and offers prayer to another religion. You guys instead have the small mind.
mrbond00714,0,2024-11-12 22:16:25,"It’s beautiful to respect all religions… we are all o e but pray differently… no one’s religion is better than another , respect for all mankind and their beliefs…"
inst.ayt24,0,2024-11-12 20:34:02,Shahrukh Khan Ko sab milkar un follow kar de🙏🙏🙏
salim_69__0,0,2024-11-12 17:19:23,😡😡😡😡chutiya😡
hirask.sk.18,0,2024-11-12 16:01:30,😡😡😡
ibrahim.ali27,0,2024-11-12 15:59:59,Your muslim sahrk
shaikriyazryz,0,2024-11-12 14:02:53,SRK ❤️❤️❤️
burhanmalik750,0,2024-11-12 13:58:48,Ye musalman tha kab ye tha hi kafir Salman khan amir khan ye sub aik hi Khaith ki moliyan hain
aloosha_ye,0,2024-11-12 13:56:56,do you see any Hindu pray in mosque?!!
nohaylabousalme,1,2024-11-12 12:17:47,ماشي شاروخان مسلم🧐😨🤯
mainulali639,0,2024-11-12 11:56:23,Astag firullah hidayat de Allah
anil_yadav__9080,0,2024-11-12 09:52:39,@nazeer_shaik_27 gobar ko please gali me mat laoo gobar k US patent hai Jake check karana...6410059 ok
muhammad.sahil_786,0,2024-11-12 04:05:58,Allah maaf nahin Karega kabhi bhi ☝️
bilalrayeen268,0,2024-11-12 03:20:10,Ye shi nhi kiya shahrukh bhai
fauzan_aprilianor,0,2024-11-12 03:12:39,Astaghfirullah
love_bihan,0,2024-11-12 02:25:48,"Katanya dia muslim,tp dia pernh bilang tdk pernah sholat,pdahal di islam kita diajarkan menghormati agama lain,bukan mengamalkannya,bagimu agama mu dan bagi kami agama kami,dia melakukan bagiku agamaku,agamamu agamaku,,klo kya gni sya mlah gak respek seolah² dia tdk menjaga kepercayaan/keyakinanya,beragama juga ada aturannya,"
amul_behera99,0,2024-11-11 18:02:09,Rasagulla 😂
eshikareangreang,0,2024-11-11 13:44:14,😍😍😍😍😍😍😍😍😍😍🙏🙏🙏
anabiya____2023,0,2024-11-11 13:00:53,😡😡😡😡😡😡😡
dr9o0,0,2024-11-11 12:07:01,🤣😂🤣😂😆WHEN HE CAN CHANGE HIS NAME TO SHAHRUKH SING I DON'T KNOW HOW HE SAID AM MUSLIM
dr9o0,0,2024-11-11 12:03:23,#لعنة_الله_علی_القوم_الظالمین #اللهم_شتت_شملهم_وفرق_جمعهم_واجعل_تدبيرهم_تدميرهم
dr9o0,0,2024-11-11 12:03:02,🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂
ramprasad732124,0,2024-11-11 11:41:45,"SRK is the best, love you sir."
navin.paswan_8700580444,2,2024-11-11 09:34:21,🕉️🕉️🕉️🕉️
